Reference, Value, Footprint, Order Code
R628,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C616,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D610,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U605,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L605,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D608,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R629,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C617,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D611,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U606,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L606,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D609,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R630,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C618,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D612,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U607,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L607,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D613,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R646,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C625,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D616,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U608,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L608,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D614,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R647,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C626,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D617,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U609,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L609,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D615,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R648,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C627,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
